"dataset","country","model","obs","samples","test_size","strategy","true","pred","pred_median","std","skewness","kurtosis","mse","mse_median","smape","smape_median","r2","r2_median"
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",500,4,"ro",128.7307,133.338886260986,133.606094360352,1.83422211463262,-0.0361503143986813,-0.629648771746441,11.9168601751285,11.0365248987524,2.38045762145348,2.25210053104218,0.100177034685156,0.166649736992542
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",500,5,"ro",124.7449,126.39836857605,126.44654083252,2.1633263071553,0.0523014177973119,-0.758484771599017,10.0802798064997,9.40833622358145,2.16771674723989,2.07265157367222,0.591973092319608,0.619171847466963
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",500,1,"sa",138.9813,143.107549865723,142.707565307617,1.79495605593529,-0.0165359457838304,-0.75144385063197,17.0259379543762,13.8850531427514,2.92549660696394,2.64566034837616,-Inf,-Inf
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",500,2,"sa",134.6643,142.365872619629,142.707565307617,2.53948492292156,-0.154991602553506,-0.229230472354509,38.1700793848969,39.2895849757348,4.24279660897951,4.22264313780531,-7.19254729469629,-7.43282980517085
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",500,3,"sa",134.1667,141.571936706543,141.702575683594,3.34090217764278,-0.0827001573676003,0.0362872302325368,43.7258964832418,45.1228640900164,4.61893104343502,4.63621780642803,-8.35547477024106,-8.65436618816849
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",500,4,"sa",128.7307,140.679512863159,140.697601318359,4.0597230826608,-0.270546543513719,0.333459721630361,68.4879545721308,69.6438298583501,5.68178549580271,5.69795850881993,-4.17141541192736,-4.25869369767504
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",500,5,"sa",124.7449,139.949896469116,139.692611694336,4.83194066257795,-0.221499452519764,0.200196985046496,101.028747182872,100.401880866078,6.84316853690069,6.81942449112824,-3.08941498561096,-3.06404085615419
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",1000,1,"ro",138.9813,143.082424972534,142.707565307617,1.77316230324866,0.114193601723022,-0.642487199302479,16.8192260403434,13.8850531427514,2.90794214884137,2.64566034837616,-Inf,-Inf
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",1000,2,"ro",134.6643,137.248729736328,136.7109375,1.80156838566622,0.0023945839203451,-0.657717375763381,11.7492515511802,9.03688909957882,2.40443296984153,2.07700270623423,-1.52177361329813,-0.93961193003227
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",1000,3,"ro",134.1667,132.733591201782,132.649185180664,1.97199587038461,0.00819770574881653,-0.561048242729886,8.51743464329655,6.79220980868727,1.96091890374179,1.76383500565598,-0.822367322830708,-0.453242874590606
